daily_demand,Cluster,Silhouette,mean_temp,pressure,sunshine,precipitation,global_radiation,max_temp,min_temp
continuous,C1 C2 C3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,
31749.4,C2,0.550178,16.7,102570,0.0,0.0,43,20.2,14.7
31546.5,C2,0.618688,15.1,102620,9.8,0.0,167,20.1,9.9
30954,C2,0.604653,14.3,102730,11.0,0.0,175,20.2,8.5
27411.6,C2,0.600586,14.2,102730,7.9,0.0,146,21.9,8.1
26644.3,C2,0.602008,15.1,102750,9.6,0.0,159,19.4,8.3
31298.4,C2,0.533648,15.2,102620,0.7,0.0,59,21.5,11.0
31849.7,C2,0.61225,16.2,102260,5.8,0.0,122,19.0,10.8
32000.9,C2,0.51583,15.8,101920,0.1,0.2,44,18.0,12.5
31556,C2,0.62641,15.3,101870,8.6,0.0,144,18.0,12.6
31185.7,C2,0.527831,12.8,101920,5.8,0.0,117,17.5,7.5
27147.1,C1,0.561028,14.7,100970,0.2,2.8,45,16.6,11.8
26970.6,C2,0.495684,12.8,101220,3.6,0.0,92,17.0,9.0
32336.1,C1,0.587685,14.2,101010,0.0,5.0,36,20.0,11.4
33024.6,C1,0.588343,15.9,100690,0.0,4.0,36,13.4,11.8
32818,C2,0.525171,11.4,101750,9.3,0.0,137,14.9,7.0
32682.6,C3,0.551149,11.0,101670,0.5,1.8,47,19.1,7.1
28733.9,C2,0.544438,15.2,101470,3.8,0.2,87,15.6,11.2
27559.8,C3,0.531413,13.5,101580,1.2,0.6,57,15.9,11.4
33718.8,C3,0.59748,11.7,103130,0.0,0.0,31,15.0,8.6
33710.6,C3,0.572557,12.4,103270,1.3,0.0,55,14.5,9.7
32484.1,C3,0.552161,12.9,103240,2.8,0.0,71,12.2,11.2
29423.8,C3,0.631562,9.4,103040,0.0,0.2,30,12.2,6.6
28966.4,C3,0.646399,7.6,102430,3.3,0.0,73,13.3,3.0
33696.8,C3,0.608874,9.1,101300,0.5,0.0,41,15.5,4.8
34381.5,C1,0.572536,10.3,99790,0.1,3.0,32,15.0,5.0
34443.8,C1,0.539288,12.1,99540,0.0,0.2,28,15.9,9.1
34256.9,C1,0.537817,12.6,99820,1.3,0.4,49,16.8,9.3
33395.7,C2,0.520864,13.0,100770,4.8,1.4,81,18.5,9.2
29232.5,C1,0.492396,15.5,100590,1.0,0.2,44,18.0,12.4
27354.2,C2,0.577996,14.6,101150,6.9,0.0,93,16.8,11.1
32856.8,C2,0.56859,13.6,101780,7.5,3.0,96,18.4,10.3
33333.1,C2,0.5378,15.1,101890,2.4,0.0,56,18.5,11.7
33217.6,C2,0.498283,14.9,101810,1.0,0.0,41,18.1,11.3
33151.1,C3,0.556106,13.8,102210,1.4,0.2,45,16.5,9.5
32060.4,C3,0.535108,13.3,102210,0.8,2.4,38,17.7,10.1
28885.3,C1,0.47568,14.4,102050,1.5,2.2,45,17.4,11.0
33198.1,C1,0.533346,9.4,100000,6.4,2.6,80,14.4,5.7
33945.4,C1,0.598391,11.2,98840,1.3,3.4,41,12.4,7.9
34750.6,C1,0.527408,10.3,99270,1.0,0.0,36,11.9,7.8
34602.9,C1,0.609141,10.2,99970,0.1,5.6,24,11.2,8.5
30951.1,C3,0.562078,8.1,100420,0.0,0.2,20,8.8,6.0
36305.4,C3,0.639299,5.8,101870,0.6,0.2,30,8.2,2.7
37322.8,C3,0.609033,5.3,101260,0.0,1.0,19,11.3,2.4
36691.6,C3,0.539861,7.9,100620,0.7,1.6,30,14.3,4.4
30192.5,C1,0.573773,10.9,100500,5.6,4.6,62,14.3,7.5
34468.2,C1,0.500338,11.5,100080,3.0,0.2,46,13.8,8.7
34631.1,C3,0.550032,11.5,100780,4.9,0.0,56,14.7,9.1
35176.8,C3,0.55396,12.2,101090,0.0,0.0,17,14.9,9.7
34289.7,C1,0.509663,13.9,101190,2.5,1.6,41,15.0,12.8
33836.5,C3,0.5313,13.6,101260,0.5,0.2,24,16.1,12.2
30644.6,C1,0.586466,11.4,101290,0.5,9.6,24,12.2,6.6
29797.7,C1,0.6126,10.6,100130,1.8,8.4,34,14.0,8.9
34997.8,C1,0.530061,10.9,99960,1.0,1.0,28,14.6,7.7
35526.4,C1,0.606711,11.6,100570,0.0,7.4,16,12.1,8.5
35265.2,C1,0.51091,10.6,99910,5.4,0.8,54,11.1,9.1
35906.5,C3,0.541776,9.1,100090,4.6,0.0,49,8.6,7.1
36004.5,C1,0.572696,7.1,99900,2.0,4.2,34,10.3,5.5
37319.1,C3,0.519538,5.9,99810,0.4,0.8,20,9.2,5.2
38912.8,C3,0.607323,4.5,101120,3.3,1.0,38,11.4,-0.3
38075.3,C1,0.48588,7.3,99770,0.7,0.4,21,9.9,6.4
37996.4,C1,0.475446,5.5,100680,4.3,3.4,42,12.9,1.0
31289.6,C1,0.527262,10.0,99680,4.4,1.0,41,11.3,8.6
37053.5,C1,0.580508,9.1,100000,0.0,3.8,13,11.4,6.9
37712.6,C3,0.588464,8.0,100990,2.2,1.2,30,12.7,4.5
37375.1,C3,0.622799,9.4,101760,0.0,0.4,13,10.8,6.1
34204.3,C3,0.63869,6.1,103180,3.1,0.2,34,7.5,3.2
33892.5,C3,0.637684,5.6,102790,1.5,0.2,25,5.6,3.6
31234.1,C1,0.489428,4.9,99760,2.0,2.0,28,9.6,1.7
29713.8,C3,0.564837,5.7,100030,1.9,0.2,27,7.4,1.7
40221.3,C3,0.610627,3.6,101720,0.0,1.6,15,8.0,0.4
33934.3,C3,0.624484,5.7,101640,6.2,0.2,56,7.8,2.0
39166.7,C3,0.636144,4.4,102490,0.0,0.0,15,8.0,0.9
39348,C3,0.612126,6.1,102120,0.1,1.4,18,3.4,4.2
40185.6,C3,0.552451,3.0,101210,0.0,3.4,16,7.8,2.6
39937.2,C3,0.63578,5.1,101920,2.2,1.0,37,8.6,2.3
38912,C3,0.518567,5.7,101700,0.0,5.2,16,6.5,2.8
35161.4,C3,0.629991,6.2,102030,0.0,0.0,17,6.2,5.9
34185.2,C3,0.620201,4.7,102410,0.0,1.4,17,4.9,3.1
38695.2,C3,0.524365,5.1,99380,1.8,0.2,38,3.9,4.4
39906.9,C3,0.580814,4.6,100690,0.0,1.2,20,9.1,0.5
40456.7,C3,0.563784,6.2,100820,0.0,2.0,20,8.5,3.2
39360.1,C1,0.497511,6.0,100520,0.0,3.0,20,12.1,3.5
37795.2,C3,0.535042,9.1,100020,3.5,0.4,56,7.2,6.1
34587.4,C3,0.624161,5.7,101330,2.1,0.0,46,5.6,4.2
34267.3,C3,0.622406,4.6,102260,0.1,0.4,24,2.8,3.5
39689.4,C3,0.610744,2.4,101280,0.0,0.4,22,6.1,1.9
40153.4,C3,0.608926,3.0,101180,3.2,0.2,57,3.6,-0.1
40520.8,C3,0.619605,2.3,101650,3.9,0.0,63,3.7,0.9
36084.4,C3,0.629339,2.6,102240,0.5,0.0,34,5.1,0.9
34871.8,C3,0.619105,3.0,101650,0.0,0.2,24,4.8,0.9
39535.9,C3,0.518578,5.7,99090,6.2,0.2,87,6.1,2.4
38715,C3,0.534,4.0,99370,2.7,0.2,62,7.0,1.5
40015.4,C1,0.550568,4.8,99220,0.1,3.4,32,11.6,2.2
39066.2,C1,0.577039,7.0,99000,0.4,4.8,39,9.8,2.3
37317.4,C1,0.53091,7.3,98900,4.7,1.0,87,11.1,5.4
33033.6,C1,0.583852,6.3,98930,0.2,4.2,37,10.5,5.5
38249.4,C3,0.641719,4.7,102110,0.6,0.0,51,7.9,2.4
38244.2,C3,0.637512,5.0,102440,5.0,0.0,106,9.5,2.1
33547.9,C3,0.625894,4.2,102770,5.4,0.0,113,5.5,0.5
38515.1,C3,0.635865,5.0,102940,0.5,0.0,53,5.8,2.0
38365.8,C3,0.635312,4.1,102900,0.0,0.0,40,6.6,2.4
38518,C3,0.643213,4.1,102470,1.6,0.0,74,8.9,1.6
37449.9,C3,0.613906,5.2,102220,1.0,2.4,65,9.1,1.5
33024.9,C3,0.643863,6.5,102980,1.6,0.0,76,12.5,3.9
30937.9,C3,0.590869,8.7,102840,5.6,0.0,127,13.2,4.9
35631.4,C3,0.584298,7.9,102730,7.1,0.0,144,13.1,2.5
36279.4,C3,0.552355,7.5,102580,8.7,0.0,162,15.1,1.9
35570,C3,0.624139,9.4,102200,1.3,0.0,75,17.3,3.7
34657,C3,0.596283,11.4,101540,2.9,1.2,100,12.7,5.4
34241.3,C1,0.587192,10.7,101100,1.4,5.6,78,13.4,8.7
30989.7,C1,0.585245,11.6,100390,0.0,3.4,46,13.1,9.7
29843,C3,0.622612,9.8,101610,2.8,0.0,102,12.3,6.5
34277,C3,0.620468,9.2,101790,2.3,1.0,96,11.7,6.1
35878.9,C3,0.601795,6.8,101610,2.5,1.2,100,17.5,1.8
35219.6,C1,0.586503,12.6,100530,4.4,5.0,127,14.7,7.6
35013,C1,0.612061,12.7,99930,0.1,4.4,55,13.7,10.6
33530.9,C1,0.503127,10.5,100090,3.7,0.8,120,14.1,7.2
30209.2,C3,0.550286,10.4,100480,0.7,0.0,72,13.3,6.6
29326.4,C1,0.541294,9.1,100780,2.0,4.0,97,12.6,4.9
34968.8,C1,0.608061,10.1,99910,0.0,5.0,52,12.3,7.5
35069,C1,0.598015,10.4,98750,0.9,4.8,79,7.4,8.5
35749.3,C1,0.520715,5.7,99060,0.0,1.0,53,10.3,4.0
35123.4,C3,0.528277,6.1,100760,5.5,3.2,152,11.3,1.9
31383.3,C1,0.587509,7.7,100290,2.7,9.8,114,11.8,4.0
30066.5,C1,0.484533,8.0,100030,1.9,1.2,101,12.2,4.1
28089.7,C3,0.588427,9.0,101140,4.1,0.0,137,14.0,5.7
28531.1,C3,0.628001,8.9,102170,1.5,0.0,96,16.1,3.8
32018.8,C3,0.509006,10.9,101550,8.2,0.0,192,11.0,5.7
33761.8,C3,0.597283,9.3,101790,0.0,0.6,58,17.3,7.5
32120.9,C2,0.543136,11.7,103330,8.6,0.0,202,17.8,4.9
28178.8,C2,0.559159,12.7,103310,9.3,0.0,212,14.9,7.5
27254.6,C3,0.506013,10.5,102920,6.9,0.0,184,14.0,6.1
32366.5,C3,0.552124,10.1,102690,4.2,0.0,148,15.7,6.2
33335.8,C3,0.601748,9.7,102140,2.5,0.0,122,14.4,6.7
33513.8,C3,0.5314,9.5,102360,6.7,0.0,186,14.3,4.5
32541.1,C2,0.520298,9.6,102740,7.6,0.0,200,17.4,4.9
32597.9,C2,0.491932,11.9,101650,4.7,0.0,163,15.1,6.5
32410.8,C2,0.533914,10.1,101870,10.3,0.0,239,13.1,5.1
27258.3,C2,0.564476,14.9,101990,1.7,0.4,117,18.8,10.8
31722.1,C2,0.565007,13.6,102520,3.1,0.0,144,21.0,8.3
31779.3,C2,0.614411,14.2,102710,9.2,0.0,235,21.4,7.3
31401.2,C2,0.544346,14.9,102030,2.3,0.0,131,18.3,8.3
32181.1,C1,0.579646,14.5,101050,0.1,4.0,76,15.7,10.7
31057.5,C1,0.492662,11.6,100930,4.5,3.0,171,17.4,7.5
27764.7,C1,0.584235,13.7,100900,2.4,5.8,136,9.4,9.9
26995.1,C1,0.537231,8.9,101180,0.0,4.0,71,11.5,8.3
27921.2,C3,0.566639,8.2,102230,5.6,0.6,191,12.1,4.9
32725.6,C3,0.569575,7.4,102690,5.1,0.0,185,15.5,2.6
33180.2,C3,0.611062,9.3,102060,2.3,0.0,137,15.3,3.0
32797.6,C3,0.536692,11.4,101260,3.5,0.0,160,13.5,7.5
31949.3,C3,0.593932,10.1,101190,0.8,0.4,104,9.9,6.6
28816.6,C3,0.595705,8.5,101240,0.0,0.6,74,12.3,7.0
28232.9,C3,0.595498,9.4,101260,0.1,0.4,82,13.9,6.5
32711.2,C3,0.55614,9.4,101250,5.8,0.0,200,10.5,4.8
