daily_demand,date_format,Predicted_daily_demand,Fold,Month,mean_temp,pressure,cloud_cover,Year,sunshine,precipitation
continuous,time,continuous,1 2 3,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,,,,,,,
28973.3,29-10-2011 00:00,31871.2,1,10,13.9,102010,6,2011,3.7,0
29030.2,29-04-2015 00:00,28614.2,1,4,10.5,101320,4,2015,4.4,1.8
39412.2,01-04-2011 00:00,37572.5,1,1,2.9,101360,7,2011,0,0
30455.9,25-08-2009 00:00,29565.3,1,8,17.3,100940,2,2009,5.5,2
30575.6,10-07-2013 00:00,29407.1,1,10,15.1,102550,7,2013,4.3,0
32147.2,11-08-2017 00:00,29698.5,1,11,7.6,102260,5,2017,0.3,0
29430.2,13-10-2016 00:00,29199,1,10,11.1,101290,7,2016,2.8,0
28669.9,01-01-2013 00:00,35232.3,1,1,5.7,100790,3,2013,5.6,0
25026.2,13-08-2018 00:00,23315.3,1,8,20.2,100740,7,2018,2.3,0
25687.9,31-05-2010 00:00,31926.1,1,5,13.4,101970,7,2010,0.6,0
30116.2,24-02-2020 00:00,28486.3,1,2,8.9,101230,7,2020,1.3,2
34359.9,29-02-2016 00:00,31910.9,1,2,4.9,102650,3,2016,7.2,0.4
26387.1,25-06-2011 00:00,27322.3,1,6,17.6,102110,5,2011,5.3,0
37248.1,12-09-2011 00:00,35202.7,1,12,5.9,101070,1,2011,4.8,0
28355.9,16-03-2020 00:00,28232.1,1,3,7.9,101960,4,2020,1.3,0
29791.6,25-07-2013 00:00,25029,1,7,21.6,101280,4,2013,6.5,0
24446.2,03-08-2020 00:00,26223.3,1,3,11.9,100640,3,2020,1.4,2
30594.9,14-09-2009 00:00,31526.1,1,9,16.4,102570,6,2009,3.1,0.2
34000.5,13-03-2014 00:00,31016.6,1,3,10.4,103010,5,2014,8.1,0
27322.1,20-05-2012 00:00,31689.8,1,5,10.3,101090,8,2012,0,0
30052.6,06-01-2011 00:00,27675.6,1,6,14.5,103040,0,2011,10.4,0
30060.6,07-12-2011 00:00,29541.3,1,7,17.4,101790,6,2011,0.6,0
31063.5,05-05-2011 00:00,29285,1,5,14.9,101940,3,2011,3.1,0
23502.6,22-08-2019 00:00,21994.1,1,8,18.6,102470,3,2019,9,0
27272.9,04-03-2017 00:00,27787,1,4,10.7,102520,2,2017,9.9,0.2
28353.8,15-10-2019 00:00,26428.4,1,10,14.1,100410,6,2019,1.7,0.8
24906.7,25-07-2017 00:00,23554.1,1,7,17.9,101570,4,2017,8.8,0.2
28584.5,14-03-2019 00:00,27522.5,1,3,10.9,100610,6,2019,4,4.6
26787.4,22-06-2015 00:00,26472.4,1,6,14.7,101110,6,2015,3.6,0.2
31540.4,28-03-2009 00:00,35705.1,1,3,6.2,99950,5,2009,2.8,0.2
27658.8,01-01-2015 00:00,33810.8,1,1,7.1,102760,8,2015,0,1
29339,22-06-2012 00:00,29545.9,1,6,14.9,101070,7,2012,0.7,0.2
33123.4,26-10-2012 00:00,33480.7,1,10,8.6,101280,7,2012,0,0.2
36754.2,24-01-2014 00:00,33982.6,1,1,5.3,101390,7,2014,0,5.6
25691.1,17-10-2020 00:00,26648,1,10,11.1,102270,7,2020,2.7,0
25256.1,31-05-2017 00:00,24237,1,5,17.9,102220,4,2017,2.8,0
32410.9,16-03-2016 00:00,30375.2,1,3,8.4,102960,7,2016,4.1,0
32218.7,17-05-2012 00:00,31295.6,1,5,11.1,101670,7,2012,0.7,0
25871.8,26-10-2014 00:00,29845.9,1,10,13.8,102130,7,2014,0,0
19643.3,06-11-2017 00:00,23007,1,6,20.1,101410,5,2017,8.4,0
36448.2,22-02-2012 00:00,33246.5,1,2,10.3,102400,8,2012,0.1,0.8
26632.2,10-04-2019 00:00,27018.1,1,10,12.1,100550,6,2019,0.2,0.4
30277.1,28-12-2013 00:00,33499.7,1,12,6.3,99750,2,2013,4.5,0
31730.8,04-02-2014 00:00,29418.7,1,4,13.9,100370,4,2014,2.2,0
29068.9,23-04-2015 00:00,27803.2,1,4,11.9,102000,3,2015,8.6,0
23280.1,09-01-2020 00:00,22840.4,1,9,13.8,102090,1,2020,4.9,0
30158.8,04-04-2019 00:00,28889.8,1,4,5.7,99510,7,2019,1.6,1.4
32554.4,02-11-2019 00:00,30365.2,1,2,5.5,102340,4,2019,4.2,0
29223.7,14-04-2012 00:00,31910.4,1,4,9.2,100830,6,2012,6.5,0
27559.8,10-11-2009 00:00,32948.7,1,10,13.5,101580,6,2009,1.2,0.6
25791.5,07-10-2017 00:00,22682.4,1,7,21.1,100850,3,2017,10.4,0
22147.8,16-06-2020 00:00,19895.6,1,6,19.3,101440,4,2020,8.6,0.2
26891.2,05-05-2016 00:00,25296.8,1,5,13.3,101990,1,2016,13.1,0
35309,15-11-2013 00:00,33150.2,1,11,6.7,103290,1,2013,6.4,0
35976.8,13-02-2015 00:00,33454.4,1,2,5.3,100360,7,2015,0,7
28160,14-08-2015 00:00,26573.7,1,8,19.4,100600,8,2015,0.4,1.4
27266.3,21-08-2015 00:00,23409,1,8,22.2,101960,5,2015,8,0
34232.8,19-02-2011 00:00,36678.2,1,2,4.6,101010,8,2011,0,2.4
29232.5,24-10-2009 00:00,32651.6,1,10,15.5,100590,6,2009,1,0.2
30724.9,16-11-2018 00:00,28622.9,1,11,10.8,102500,8,2018,0,0
27562.5,10-04-2018 00:00,26330.5,1,10,14.6,102450,7,2018,0.4,0
33615,21-02-2014 00:00,33161.1,1,2,7.1,100350,2,2014,7.3,0
30217,06-12-2009 00:00,31127.3,1,6,14.4,102110,6,2009,2.1,0
28794.2,05-06-2015 00:00,27774.2,1,5,11.5,100430,6,2015,5.4,3.4
21042.2,28-08-2017 00:00,22771.4,1,8,21.1,101740,0,2017,12,0
25218.6,06-04-2012 00:00,30075,1,6,11.1,101450,6,2012,3.1,0.2
28381.7,27-10-2020 00:00,27225.2,1,10,9.5,99860,4,2020,2.4,1
26632.1,30-05-2011 00:00,29707,1,5,16.7,101100,8,2011,1.7,2
27575.8,01-02-2016 00:00,32967.2,1,1,6.8,99810,8,2016,0,5.6
31562.7,19-05-2010 00:00,29576.3,1,5,14.5,102960,4,2010,6.3,0
25263.6,07-12-2009 00:00,28669.2,1,7,19.7,100730,6,2009,6,0
24454.3,06-09-2017 00:00,23902.1,1,6,16.6,101130,5,2017,6.6,0
26737.5,10-11-2018 00:00,25323.3,1,10,18.1,100450,7,2018,1.7,3
29901.2,10-07-2015 00:00,28782.6,1,10,15,100890,8,2015,0.2,0
29302.8,07-01-2011 00:00,27559.5,1,7,15.3,102580,3,2011,9.7,0
30154.8,13-09-2010 00:00,31563.6,1,9,14.3,102500,7,2010,0.6,0
32381.8,24-11-2013 00:00,33761.3,1,11,6,103070,7,2013,0,0
28218.1,24-11-2020 00:00,27433.6,1,11,10.2,101840,7,2020,0.9,0
34587.4,02-06-2010 00:00,37097.5,1,2,5.7,101330,7,2010,2.1,0
34499.2,14-02-2017 00:00,31313.7,1,2,7.6,102320,5,2017,1.3,0
28282.1,07-11-2014 00:00,27262.1,1,7,16.8,101770,5,2014,0,0.2
30612.7,09-04-2012 00:00,27919.1,1,9,19.4,102370,4,2012,6,0
25679.9,30-04-2016 00:00,27969.3,1,4,7.8,102160,2,2016,10.1,0.2
27382.7,13-04-2017 00:00,27767.1,1,4,10.6,101840,4,2017,5.6,0
32966.6,24-10-2012 00:00,31369.5,1,10,14.4,101960,6,2012,1.6,0
28044,13-10-2020 00:00,27186.5,1,10,9,101050,6,2020,0,1.8
26180.2,10-06-2020 00:00,24539.7,1,10,14.2,99780,5,2020,3.7,0
22208.6,09-10-2017 00:00,26946.5,1,9,13,99850,6,2017,2.6,0.8
21590.1,06-12-2020 00:00,22614.9,1,6,17.6,100590,7,2020,1.7,2
34352.6,18-03-2015 00:00,31341.9,1,3,7.4,103180,2,2015,8.7,0
28537.2,03-10-2020 00:00,27387.8,1,3,11.476,100480,8,2020,1.6,0
26758.4,25-03-2018 00:00,29401.7,1,3,9.8,101080,7,2018,0,0
32537.9,28-10-2011 00:00,32321.7,1,10,12.5,102140,4,2011,8.2,0
31871.3,27-09-2012 00:00,30359.3,1,9,14.1,100720,6,2012,4.3,0.6
26209.9,22-07-2016 00:00,24448.1,1,7,20.6,101850,7,2016,0.7,0.6
33998.5,03-07-2016 00:00,32128.9,1,3,4,100970,5,2016,6.7,0
